food_name,calories,protein,fat,carbs,fiber,category,region,meal_type
Oats,389,16.9,6.9,66.3,10.6,veg,global,breakfast
Boiled Eggs,155,12.6,10.6,1.1,0.0,non-veg,global,breakfast
Banana,89,1.1,0.3,22.8,2.6,veg,global,breakfast
Whole Wheat Bread,247,13.0,3.4,41.0,7.0,veg,global,breakfast
Greek Yogurt,59,10.0,0.4,3.6,0.0,veg,global,breakfast
Almonds,579,21.2,49.9,21.6,12.5,veg,global,snack
Apple,52,0.3,0.2,13.8,2.4,veg,global,snack
Orange,47,0.9,0.1,11.8,2.4,veg,global,snack
Chicken Breast,165,31.0,3.6,0.0,0.0,non-veg,global,lunch
Brown Rice,216,5.0,1.8,44.8,3.5,veg,global,lunch
Lentil Soup,116,9.0,0.4,20.0,7.9,veg,global,lunch
Grilled Salmon,208,20.4,13.4,0.0,0.0,non-veg,global,dinner
Broccoli,55,3.7,0.6,11.2,5.1,veg,global,dinner
Sweet Potato,86,1.6,0.1,20.1,3.0,veg,global,dinner
Quinoa,222,8.1,3.6,39.4,5.2,veg,global,lunch
Spinach,23,2.9,0.4,3.6,2.2,veg,global,dinner
Paneer,265,18.3,20.8,1.2,0.0,veg,indian,lunch
Dal Tadka,116,7.5,3.2,14.8,4.2,veg,indian,lunch
Roti (Wheat),297,10.9,3.7,52.8,4.6,veg,indian,lunch
Idli,58,2.0,0.4,11.4,0.9,veg,south-indian,breakfast
Dosa,168,3.9,4.0,28.0,1.0,veg,south-indian,breakfast
Sambar,55,3.2,1.5,7.8,2.4,veg,south-indian,lunch
Chicken Curry,243,28.0,12.0,6.0,1.2,non-veg,indian,dinner
Fish Curry,175,22.0,8.0,4.0,0.5,non-veg,indian,dinner
Aloo Gobi,112,3.5,4.5,15.8,3.8,veg,indian,dinner
Chana Masala,164,8.9,5.2,22.0,7.2,veg,indian,lunch
Rajma,127,8.7,0.5,22.8,6.4,veg,indian,dinner
Matar Paneer,172,9.2,9.8,12.4,3.2,veg,indian,dinner
Mach Bhaat (Fish Rice),310,22.0,8.0,38.0,1.5,non-veg,bengali,lunch
Shorshe Ilish,285,24.0,18.0,2.0,0.0,non-veg,bengali,lunch
Aloo Posto,198,3.5,10.5,24.2,3.8,veg,bengali,lunch
Begun Bhaja (Fried Eggplant),145,2.2,8.5,16.0,4.5,veg,bengali,dinner
Chingri Malai Curry,265,22.0,16.0,6.5,0.5,non-veg,bengali,dinner
Luchi (Fried Bread),320,7.5,12.5,44.0,2.0,veg,bengali,breakfast
Kosha Mangsho (Mutton),385,28.0,25.0,8.5,1.2,non-veg,bengali,dinner
Dal Bhat,245,12.0,2.5,44.0,6.5,veg,bengali,lunch
Mishti Doi (Sweet Yogurt),149,5.5,3.5,24.0,0.0,veg,bengali,snack
Sandesh,165,6.2,7.0,20.5,0.0,veg,bengali,snack
Mochar Ghonto (Banana Flower),95,3.2,3.5,13.5,5.2,veg,bengali,dinner
Sorshe Bata Maach,195,20.0,10.5,3.5,0.5,non-veg,bengali,dinner
Tuna (canned),116,25.5,1.0,0.0,0.0,non-veg,global,lunch
Cottage Cheese,98,11.1,4.3,3.4,0.0,veg,global,snack
Avocado,160,2.0,14.7,8.5,6.7,veg,global,snack
Milk (whole),61,3.2,3.3,4.8,0.0,veg,global,breakfast
Peanut Butter,588,25.1,50.4,20.0,6.0,veg,global,breakfast
Chickpeas,164,8.9,2.6,27.4,7.6,veg,global,lunch
Egg White,52,10.9,0.2,0.7,0.0,non-veg,global,breakfast
Tofu,76,8.0,4.8,1.9,0.3,veg,global,lunch
Walnuts,654,15.2,65.2,13.7,6.7,veg,global,snack
Mushrooms,22,3.1,0.3,3.3,1.0,veg,global,dinner
Cauliflower,25,1.9,0.3,5.0,2.0,veg,indian,dinner
Tomato,18,0.9,0.2,3.9,1.2,veg,global,lunch
Carrot,41,0.9,0.2,9.6,2.8,veg,global,snack
Cucumber,15,0.7,0.1,3.6,0.5,veg,global,snack
Watermelon,30,0.6,0.2,7.6,0.4,veg,global,snack
Mango,60,0.8,0.4,15.0,1.6,veg,indian,snack
Papaya,43,0.5,0.3,11.0,1.7,veg,indian,breakfast
Pomegranate,83,1.7,1.2,18.7,4.0,veg,indian,snack
Sprouts (Mixed),45,3.8,0.5,7.5,2.9,veg,indian,breakfast
Upma,145,4.2,4.5,22.0,2.5,veg,south-indian,breakfast
Poha,180,3.5,4.0,31.5,1.8,veg,indian,breakfast
Curd Rice,160,5.5,3.5,27.0,0.5,veg,south-indian,lunch
Khichdi,180,7.5,3.5,30.0,4.5,veg,indian,dinner
